actor_1,actor_2,country,date_aired,episodes,genre,network,popularity,ranking,rating,tag,title,users,watchers
Matsushige Yutaka,Yamamura Michi,Japan,"Jan  4, 2012 - Mar 21, 2012",12,"Food,  Life",TV Tokyo,5798,99999,8.1,"Adapted From A Manga, Based On True Story",Kodoku no Gurume,220,554
Fukatsu Eri,,Japan,2006,20,"Mystery,  Psychological,  Comedy,  Fantasy",Fuji TV,99999,99999,7.4,"Anthology Series, Experimental Film",Fukatsu Eri no Black Comedy ,9,43
Mizutani Yutaka,Oikawa Mitsuhiro,Japan,"Oct 20, 2010 - Mar  9, 2011",18,"Action,  Suspense,  Mystery,  Crime",TV Asahi,99999,99999,8.4,,Aibou: Season 9,14,64
Mizutani Yutaka,Oikawa Mitsuhiro,Japan,"Oct 14, 2009 - Mar 10, 2010",19,"Action,  Suspense,  Mystery,  Crime",TV Asahi,99999,99999,8.3,,Aibou: Season 8,18,70
Watabe Atsuro,Kurotani Tomoka,Japan,"May  7, 2012 - Jul  9, 2012",10,"Drama,  Family",TV Asahi,99999,99999,7.6,,Shichou wa Mukudono,2,24
Tokiwa Takako,Fukatsu Eri,Japan,"Jan 11, 2001 - Mar 22, 2001",11,"Friendship,  Comedy,  Law,  Family",Fuji TV,99999,99999,6.8,"Lawyer, Adapted From A Manga, Idol Actor",Kabachitare!,53,221
Terajima Shinobu,Nakagoshi Noriko,Japan,"Mar 24, 2012 - Apr 14, 2012",4,"Romance,  Life",WOWOW,99999,99999,,"Omnibus, Adapted From A Novel",Kuniko Mukoda's Innocent,0,39
Ichihara Hayato,Narimiya Hiroki,Japan,"Apr  6, 2012 - Jun 22, 2012",12,Historical,NHK,99999,99999,6.7,Adapted From A Manga,Hidamari no Ki,21,166
Fukuda Saki,Koizumi Kotaro,Japan,"Sep 10, 2011",13,"Romance,  School,  Drama",BeeTV,4341,99999,7.3,"Secret, Orphan Female Lead, Older Man/Younger Woman, Teacher, High School, Cohabitation, Student, Nice Male Lead, Poor Female Lead, Nice Female Lead",Himitsu no Kankei - Sensei wa Doukyonin,162,891
Takeda Kouhei,Sato Eriko,Japan,"Oct  7, 2011 - Dec 23, 2011",12,Drama,TV Tokyo,99999,99999,5.2,Adapted From A Manga,Koko ga Uwasa no El Palacio ,6,57
Kora Kengo,Tanaka Tetsushi,Japan,"Apr 29, 2012 - Jun  3, 2012",6,"Suspense,  Psychological,  Youth,  Drama",WOWOW,4326,99999,7.5,"Outcast, Social Withdrawal, Abuse, Murder, Prostitution, Adapted From A Novel, Adapted From A Manga",Tsumi to Batsu: A Falsified Romance,250,896
Takizawa Hideaki,Nakagoshi Noriko,Japan,"Jan  9, 2005 - Dec 11, 2005",49,"Historical,  Drama",NHK,8239,99999,7.6,"Tackey & Tsubasa, Nikkan Daily Sports Drama GP, Jidaigeki, Warlord, Taiga, Cold Man/Warm Woman, Idol Actor",Yoshitsune,61,294
Ihara Tsuyoshi,Aoki Munetaka,Japan,"May 22, 2012 - Jul 17, 2012",8,Romance,NHK,99999,99999,7.5,,Hatsukoi,47,192
Yamashita Rio,Mitsushima Hikari,Japan,"Jan  1, 2012 - Jan 22, 2012",4,Historical,NHK,99999,99999,7.5,,Kaitakushatachi,2,65
Kanno Miho,Ito Hideaki,Japan,"Jul  5, 2000 - Sep 20, 2000",12,"Music,  Life,  Youth,  Drama",Fuji TV,99999,99999,7.2,,Ai wo Kudasai,23,99
Takaoka Saki,Ikewaki Chizuru,Japan,"Jan 24, 2012 - Feb 28, 2012",6,Drama,NHK,99999,99999,6.5,,Tightrope no Onna ,2,28
Ono Machiko,Nishina Akiko,Japan,"Jun 10, 2012 - Jul  8, 2012",5,"Business,  Drama",WOWOW,99999,99999,6.7,Adapted From A Novel,Magma,30,87
Kuroki Hitomi,Nakamura Toru,Japan,"Mar 25, 2012 - Apr 22, 2012",5,,WOWOW,99999,99999,7.3,,Suitei Yuuzai,32,102
Sakai Masato,Tabe Mikako,Japan,"Oct 12, 2012 - Dec 14, 2012",10,"Historical,  Romance,  Drama",TBS,3885,99999,7.7,"Animal Death, Reverse-Harem, KAT-TUN, Older Man/Younger Woman, Samurai, Age Gap, Adapted From A Manga, Idol Actor",Ooku: The Inner Chamber,304,1053
Yusuke Santamaria,Tsukamoto Takashi,Japan,"Mar  1, 2010 - May  5, 2010",29,"Friendship,  Comedy,  Romance,  Life",BeeTV,99999,99999,6.3,,Women Play Twice,39,103
Ueno Juri,Arai Hirofumi,Japan,"Sep  3, 2009 - Oct  1, 2009",5,"Comedy,  Drama",WOWOW,99999,99999,6.5,,Ueno Juri to Itsutsu no Kaban ,89,213
Odagiri Joe,Ohmori Ayane,Japan,"Apr 15, 2012 - Jun  3, 2012",8,Family,Fuji TV,6436,99999,7.2,,Kazoku no Uta,160,462
Kamakari Kenta,Suzuki Shogo,Japan,"Jul 15, 2010 - Sep  2, 2010",8,"Comedy,  Drama",KTV,7469,99999,6.4,,Heaven's Rock,85,357
Tanimura Mitsuki,Uchida Chika,Japan,"Apr  5, 2012 - Jun 28, 2012",13,,NTV,99999,99999,6.9,,Taburakashi Daiko Joyuu Maki,33,128
Amami Yuki,Suzuki Rio,Japan,"Apr 12, 2012 - Jun 21, 2012",11,Music,Fuji TV,6934,99999,7.3,,Kaeru no Oujo-sama,145,404
Mizuki Alisa,Kataoka Tsurutaro,Japan,"Apr 18, 2012 - Jun 13, 2012",9,Crime,TV Asahi,5774,99999,7.5,"Murder, Investigation",Answer - Keishichou Kenshou Sousakan,219,558
Kusanagi Tsuyoshi,Mizukawa Asami,Japan,"Apr 10, 2012 - Jun 19, 2012",11,"Life,  Drama,  Medical",Fuji TV,6761,99999,7.5,"Kawabuchi Keiichi, SMAP, Hey! Say! Jump, Trainee Doctor, Adapted From A Novel, Based On True Story, Idol Actor",37-sai de Isha ni Natta Boku - Kenshui Junjo Monogatari,153,424
Sasaki Kuranosuke,Musaka Naomasa,Japan,"Apr  9, 2012 - Jun 25, 2012",12,"Suspense,  Mystery",TBS,99999,99999,6.2,"Konno Bin, Adapted From A Novel",Honcho Azumi Season 5,3,52
Fujiwara Tatsuya,Takahashi Katsumi,Japan,"Nov 15, 2010 - Nov 25, 2010",8,"Comedy,  Drama",TBS,5784,99999,7.3,Time Travel,Ojiichan wa 25 Sai,191,557
Aiba Masaki,Omasa Aya,Japan,"Apr 14, 2012 - Jun 23, 2012",11,"Mystery,  Comedy",NTV,2922,99999,7.2,"Kanjani 8, Arashi, Cat, Transformation, Weak Male Lead, Sibling Relationship, Nice Male Lead, Idol Actor",Mikeneko Holmes no Suiri,540,1598
Takei Emi,Kiritani Kenta,Japan,"Apr 26, 2012 - Jun 14, 2012",8,"Mystery,  Drama",TV Asahi,3461,99999,7.8,"Natsuki Shizuko, Adapted From A Novel",W no Higeki,542,1243
Wakui Emi,Takenouchi Yutaka,Japan,"Apr 20, 2012 - Jun 22, 2012",10,Romance,TBS,4846,99999,7.3,Amnesia,"Mou Ichido Kimi ni, Propose",221,750
Sato Ryuta,Inamori Izumi,Japan,"Apr 18, 2012 - Jun  6, 2012",8,"Drama,  Medical",NTV,5991,99999,6.8,"Plastic Surgery, Gay Character",Cleopatra na Onnatachi,180,521
Ishiguro Hideo,Ozawa Hitoshi,Japan,"Apr 13, 2007 - Jun 29, 2007",11,"Action,  Comedy,  School",TV Tokyo,7530,99999,6.2,"High School, Adapted From A Manga, Brief Nudity, Sexual Content",Elite Yankee Saburo,95,353
Yada Akiko,Amami Yuki,Japan,"Apr 17, 2006 - Jun 26, 2006",11,"Friendship,  Drama",Fuji TV,99999,99999,7.7,,Top Caster,63,180
Tabe Mikako,Koike Teppei,Japan,"Jul  2, 2012 - Sep 17, 2012",12,"Mystery,  Comedy,  Drama",TBS,6351,99999,7.0,"Higashino Keigo, Adapted From A Novel",Naniwa Shounen Tanteidan,145,470
Kaku Kento,Miura Takahiro,Japan,"Apr 13, 2012 - Jun 30, 2012",12,"School,  Youth,  Drama",TV Tokyo,5782,99999,6.8,"High School, Adapted From A Manga",Clover,54,557
Mizushima Hiro,Nakadoi Hiroki,Japan,"Oct  3, 2005 - Dec 26, 2005",13,"Comedy,  Romance",TV Tokyo,7390,99999,5.5,"Youth Romance, High School, Adapted From A Manga, Youth, School",Pink no Idenshi,75,363
Kutsuna Shiori,Maruyama Ryuhei,Japan,"Feb 27, 2012 - Mar  1, 2012",4,Drama,Fuji TV,99999,99999,6.4,Kanjani 8,O-PARTS,64,192
Uchino Seiyou,Matsushita Yuki,Japan,"Apr 15, 2009 - Jun 24, 2009",10,"Mystery,  Crime",TV Asahi,99999,99999,7.5,,Rinjo,40,81
Takenouchi Yutaka,Ogata Ken,Japan,"Jan  8, 2004 - Sep  9, 2004",10,"Suspense,  Mystery",Fuji TV,99999,99999,7.5,Adapted From A Novel,Ningen no Shomei,28,85
Suzuki Katsuhiro,Baba Ryoma,Japan,"Feb 26, 2012 - Feb 11, 2013",50,"Action,  Military,  Friendship,  Tokusatsu,  Comedy,  Martial Arts,  Sci-Fi,  War",TV Asahi,4723,99999,8.0,"Superhero, Super Sentai, Government, Robot",Tokumei Sentai Go-Busters,330,780
Suzuki Ami,Yamashita Rio,Japan,"Nov 24, 2008 - Feb 20, 2009",60,"Adventure,  Friendship,  Romance,  Life,  School,  Youth,  Drama,  Family,  Medical",TBS,99999,99999,7.9,Disability,Love Letter,19,185
Nagase Tomoya,Fukada Kyoko,Japan,"Jan 17, 2004 - Mar 13, 2004",9,"Mystery,  Drama",NTV,99999,99999,6.3,"TOKIO, NEWS(Band), Adapted From A Manga, Idol Actor",Kanojo ga Shinjatta,7,117
Suzuki Hiroki,Takagi Manpei,Japan,"Feb 18, 2007 - Feb 10, 2008",49,"Action,  Adventure,  Friendship,  Youth,  Martial Arts,  Fantasy",TV Asahi,5316,99999,8.3,"Martial Arts, Kung Fu, Superhero, Chinese Mythology, Orphan Male Lead, Mother-Daughter Relationship, Brothers",Juuken Sentai Gekiranger,297,645
Horikita Maki,Owada Shinya,Japan,"Apr  2, 2012 - Sep 29, 2012",156,"Historical,  Life,  Medical",NHK,5634,99999,8.4,"Nikkan Daily Sports Drama GP, World War 2, Morning Drama, Asadora",Umechan Sensei,57,584
Yabu Kouta,Yaotome Hikaru,Japan,"Oct 15, 2004 - Mar 25, 2005",22,"Friendship,  School,  Drama,  Family",TBS,99999,99999,8.4,"Hey! Say! Jump, Teacher, Middle School, Idol Actor",3 nen B gumi Kinpachi Sensei 7,48,143
Nakamura Toru,Tanabe Seiichi,Japan,"Mar 29, 2009 - Apr 26, 2009",5,"Suspense,  Life,  Family",WOWOW,99999,99999,7.9,"Ikeido Jun, Adapted From A Novel",Soratobu Taiya,44,140
Moriyama Mirai,Terao Akira,Japan,"Mar  1, 2008 - Mar 29, 2008",4,"Suspense,  Mystery,  Detective,  Investigation",NHK,99999,99999,7.1,,Keiji no Genba,6,36
Moriyama Mirai,Kato Ai,Japan,"Jul 11, 2009 - Aug  8, 2009",5,"Suspense,  Mystery",NHK,99999,99999,7.5,,Keiji no Genba 2 ,2,24
Nakabeppu Aoi,Toba Jun ,Japan,"Jul 11, 2008 - Sep 26, 2008",12,"Romance,  Drama",TV Tokyo,99999,99999,7.8,Adapted From A Manga,Walkin' Butterfly,12,133
Yanagiba Toshiro,Mikami Hiroshi,Japan,"Apr  6, 2008 - May 25, 2008",8,"Crime,  Medical",WOWOW,99999,99999,6.9,,Pandora,26,121
Nagasawa Masami,Mizobata Junpei,Japan,"Apr 13, 2012 - Jun  8, 2012",9,"Mystery,  Comedy,  Crime",TV Asahi,3479,99999,7.2,,Toshi Densetsu no Onna,484,1233
Igarashi Shunji,Tanaka Minoru,Japan,"Apr  8, 2006 - Mar 31, 2007",50,"Action,  Adventure,  Friendship,  Tokusatsu",Fuji TV,7762,99999,8.4,,Ultraman Mebius,129,330
Nishijima Hidetoshi,Nakamura Toru,Japan,"Apr  6, 2010 - Jun 22, 2010",12,Mystery,Fuji TV,99999,99999,7.9,,Team Batista 2: General Rouge no Gaisen,72,149
Miyazaki Aoi,Nishijima Hidetoshi,Japan,"Apr  3, 2006 - Sep 30, 2006",156,"Music,  Historical,  Life,  Drama,  Family,  War",NHK,99999,99999,8.0,"Jazz, World War 2, Morning Drama, Asadora, Adapted From A Novel",Junjo Kirari ,28,157
Usuda Asami,Hasegawa Hiroki,Japan,"Apr 25, 2011 - Jun 27, 2011",10,Drama,TV Tokyo,3597,99999,8.0,"Adapted From A Manga, School",Suzuki Sensei,251,1185
Terawaki Yasufumi,Mizutani Yutaka,Japan,"Oct 24, 2007 - Mar 19, 2008",19,"Action,  Suspense,  Mystery,  Crime",TV Asahi,99999,99999,8.5,,Aibou: Season 6,18,62
Terawaki Yasufumi,Mizutani Yutaka,Japan,"Oct 11, 2006 - Mar 14, 2007",20,"Action,  Suspense,  Mystery,  Crime",TV Asahi,99999,99999,8.6,,Aibou: Season 5,15,62
Mizutani Yutaka,Terawaki Yasufumi,Japan,"Oct 12, 2005 - Mar 15, 2006",21,"Action,  Suspense,  Mystery,  Crime",TV Asahi,99999,99999,8.3,,Aibou: Season 4,19,66
Terawaki Yasufumi,Mizutani Yutaka,Japan,"Oct 19, 2004 - Mar 23, 2005",19,"Action,  Suspense,  Mystery,  Crime",TV Asahi,99999,99999,8.4,,Aibou: Season 3,19,65
Mizutani Yutaka,Terawaki Yasufumi,Japan,"Oct  8, 2003 - Mar 17, 2004",21,"Action,  Suspense,  Mystery,  Crime",TV Asahi,99999,99999,8.4,,Aibou: Season 2,23,74
Mizutani Yutaka,Terawaki Yasufumi,Japan,"Oct  9, 2002 - Dec 25, 2002",12,"Action,  Suspense,  Mystery,  Crime",TV Asahi,99999,99999,8.3,,Aibou: Season 1,39,237
Totsugi Shigeyuki,Otoo Takuma,Japan,"Apr 16, 2012 - Jun 25, 2012",10,,TBS,99999,99999,5.8,,Soup Curry,8,58
Nagasawa Masami,Katsuji Ryo,Japan,"Feb 12, 2012 - Mar 11, 2012",5,"Mystery,  Drama,  Medical",WOWOW,6725,99999,7.1,"Higashino Keigo, Adapted From A Novel",Bunshin,195,427
Natsukawa Yui,Kitamura Kazuki,Japan,"Oct  7, 2003 - Dec  9, 2003",10,"Suspense,  Horror,  Drama,  Family",Fuji TV,8683,99999,7.5,"Ex-bofriend Returns, Stalker",Anata no Tonari ni Dareka Iru,68,265
Yamamoto  Koji,Kawakami Maiko,Japan,"Jan 14, 2012 - Mar 31, 2012",12,,Fuji TV,99999,99999,6.5,,KuroNeko Lucy,2,37
Sato Ryuta,Sakuraba Nanami,Japan,"Jan 22, 2012 - Mar 18, 2012",8,"Mystery,  Comedy,  Drama",TV Asahi,99999,99999,6.5,,Mousou Sousa,1,42
Hara Mikie,Yamamoto Shouma,Japan,"Oct  2, 2007 - Mar 25, 2008",25,Tokusatsu,TV Tokyo,8587,99999,7.3,Adapted From A Manga,Cutie Honey the Live,77,271
Sainei Ryuji,Hayashi Tsuyoshi,Japan,"Feb 15, 2004 - Feb  6, 2005",50,Tokusatsu,TV Asahi,5463,99999,8.3,"Detective, Police Dog, Superhero, Police Officer, Psychometry, Alien, Nogizaka46, Idol Actor",Tokusou Sentai Dekaranger,271,615
Handa Kento,Izumi Masayuki,Japan,"Jan 26, 2003 - Jan 18, 2004",50,Tokusatsu,TV Asahi,3737,99999,7.9,,Kamen Rider 555,539,1118
Yonekura Ryoko,Kamikawa Takaya,Japan,"Jan 19, 2007 - Mar  9, 2007",8,"Suspense,  Mystery",TV Asahi,99999,99999,7.6,Adapted From A Novel,Warui yatsura,36,113
Suga Takamasa,Matsuda Satoshi ,Japan,"Feb  3, 2002 - Jan 19, 2003",50,"Action,  Thriller,  Mystery,  Tokusatsu,  Drama,  Sci-Fi,  Fantasy",TV Asahi,3782,99999,8.0,"Plot Twist, Dark Plot, Sword-fight",Kamen Rider Ryuki,534,1099
Odagiri Joe,Katsurayama Shingo,Japan,"Jan 30, 2000 - Jan 21, 2001",49,"Action,  Tokusatsu,  Martial Arts,  Sci-Fi",TV Asahi,3857,99999,8.2,Sci-Fi,Kamen Rider Kuuga,500,1067
Dan Rei,Kobayashi Seiran,Japan,"Mar 30, 2010 - May  4, 2010",6,,NHK,99999,99999,8.0,,Youkame no Semi,28,109
Hashimoto Atsushi,Matsumoto Hiroya,Japan,"Feb 13, 2005 - Feb 12, 2006",49,"Action,  Adventure,  Friendship,  Tokusatsu,  Martial Arts,  Family,  Fantasy",TV Asahi,5670,99999,7.9,"Magic, Sibling Relationship, Superhero, Family, Elemental Power",Mahou Sentai Magiranger,255,579
Tamura Masakazu,Nakatani Miki,Japan,"Oct 13, 2002 - Dec 22, 2002",11,"Drama,  Family",TBS,99999,99999,7.1,,Otousan,40,94
Takahashi Mitsuomi,Saito Yasuka,Japan,"Feb 19, 2006 - Feb 11, 2007",49,Tokusatsu,TV Asahi,6428,99999,7.8,"Superhero, Adventure",GoGo Sentai Boukenger,225,463
Ichihara Hayato,Kamiki Ryunosuke,Japan,"Apr 10, 2005 - Jun 19, 2005",11,"Romance,  Drama,  Family",TBS,6676,99999,7.6,,Aikurushii,146,433
Akashiya Sanma,Nagasawa Masami,Japan,"Oct 14, 2007 - Dec 16, 2007",10,"Comedy,  Romance",TBS,99999,99999,6.5,,Hatachi no Koibito,30,104
Matsuzaka Tori,Morita Suzuka,Japan,"Feb 15, 2009 - Feb  7, 2010",49,"Action,  Adventure,  Friendship,  Tokusatsu,  Comedy,  Youth,  Martial Arts,  Fantasy",TV Asahi,3243,99999,8.5,"Sword-fight, Samurai, Superhero, Multi-Generational, Plot Twist, Elemental Power",Samurai Sentai Shinkenger,567,1373
Ozawa Ryota,Yamada Yuki,Japan,"Feb 13, 2011 - Feb 19, 2012",51,"Action,  Adventure,  Friendship,  Tokusatsu,  Youth,  Fantasy",TV Asahi,3220,99999,8.6,"Anniversary, Space Pirate, Superhero, Alien",Kaizoku Sentai Goukaiger,638,1388
Kashu Toshiki,Kaname Jun,Japan,"Jan 28, 2001 - Jan 27, 2002",51,"Action,  Tokusatsu,  Martial Arts,  Sci-Fi",TV Asahi,4352,99999,7.9,Friendship,Kamen Rider Agito,395,886
Tsubaki Takayuki,Morimoto Ryoji,Japan,"Jan 25, 2004 - Jan 23, 2005",49,Tokusatsu,TV Asahi,4150,99999,8.1,,Kamen Rider Blade,446,958
Ichikawa Mikako,Higashiyama Noriyuki,Japan,"Jan 14, 2006 - Mar 11, 2006",9,"Mystery,  Comedy",NTV,8870,99999,7.2,"V6, Shonentai, Adapted From A Manga, Idol Actor, Detective, Food",Kuitan,127,255
Takenouchi Yutaka,Watari Tetsuya,Japan,"Oct 20, 2006 - Dec  8, 2006",8,"Life,  Drama,  Family",TV Asahi,99999,99999,8.0,Father-Son Relationship,Kazoku,30,231
Matsumoto Hakuo II,Yabe Kenji,Japan,"Oct 16, 2002 - Dec 11, 2002",10,"Comedy,  Drama,  Family",Fuji TV,99999,99999,5.2,Adapted From A Manga,Tensai Yanagisawa Kyoju no Seikatsu,1,16
Chiba Yudai,Hongo Kanata,Japan,"Jan 27, 2012 - Mar 30, 2012",10,"Mystery,  Comedy,  Drama",TBS,5154,99999,6.7,,Shirato Osamu no Jikenbo,152,676
Mukai Osamu,Rokkaku Seiji,Japan,"Oct 22, 2009 - Dec 24, 2009",10,Law,NTV,99999,99999,6.7,,Bocho Mania 09,6,98
Yokoyama Megumi,Kawamura Taisuke,Japan,"Oct  6, 2003 - Dec 15, 2003",11,Drama,Fuji TV,99999,99999,6.8,,Beginner ,8,42
Kimura Tae,Peter Ho,Japan,"Sep 13, 2008 - Oct 18, 2008",6,Romance,NHK,99999,99999,6.2,,Shanghai Typhoon,2,23
Tanaka Naoki,Mitsuya Yoko,Japan,"Jan 15, 2009 - Mar 26, 2009",14,"Drama,  Fantasy",NTV,99999,99999,7.3,,Reset,15,131
Kinami Haruka,Mikiya,Japan,"Jan 24, 2012 - Mar 27, 2012",10,Drama,TBS,99999,99999,6.6,"Tsutsui Yasutaka, Adapted From A Novel",Kazoku Hakkei,6,106
Matsushita Nao,Inohara Yoshihiko,Japan,"Jan 15, 2012 - Mar 18, 2012",10,"Drama,  Family",Fuji TV,6119,99999,7.4,"V6, KAT-TUN, Living With In-laws, Rich Woman/Poor Man, Marriage, Idol Actor",Hayami-san to Yobareru Hi,227,503
Okada Yoshinori,Kato Takako,Japan,"Apr  5, 2012 - Jun 21, 2012",12,"Food,  Drama",Fuji TV,99999,99999,,,Ekiben Hitoritabi,0,62
Matsuoka Masahiro,Tanaka Taketo ,Japan,"Jan 13, 2012 - Mar  9, 2012",9,"Comedy,  Sci-Fi",TV Asahi,6343,99999,7.2,"Kanjani 8, Adapted From An Encyclopedia, Police Officer, Career, Job, Time Travel",13-sai no Hello Work,143,471
Sasaki Kuranosuke,Nakama Yukie,Japan,"Jan 20, 2012 - Mar 23, 2012",10,"Comedy,  Romance",TBS,4702,99999,6.8,,Renai Neet,277,785
Itao Itsuji,Tanabe Seiichi,Japan,"Jan  5, 2012 - Mar 29, 2012",13,Drama,"NTV, YTV",99999,99999,7.1,Adapted From A Novel,Deka Kurokawa Suzuki,38,99
Nakai Kiichi,Koizumi Kyoko,Japan,"Jan 12, 2012 - Mar 22, 2012",11,"Comedy,  Romance,  Life",Fuji TV,5718,99999,8.1,Slice Of Life,Saigo Kara Nibanme no Koi,168,569
Okada Masaki,Nakatani Miki,Japan,"Jan 19, 2012 - Mar  8, 2012",8,"Suspense,  Drama,  Medical",TV Asahi,5614,99999,7.3,"Surrogacy, Character Development",Seinaru Kaibutsutachi,181,587
Nagasaku Hiromi,Karina,Japan,"Jan 11, 2012 - Mar 14, 2012",10,"Comedy,  Crime,  Drama",NTV,8285,99999,6.9,Adapted From A Novel,Dirty Mama!,105,290
Mizutani Yutaka,Oikawa Mitsuhiro,Japan,"Oct 19, 2011 - Mar 21, 2012",19,"Action,  Suspense,  Mystery,  Crime",TV Asahi,99999,99999,8.6,,Aibou: Season 10,17,75
Yuka,Kato Seishiro,Japan,"Jan 10, 2012 - Mar 13, 2012",10,"Mystery,  Comedy,  Romance",NHK,8140,99999,6.8,,Honjitsu wa Taian Nari,110,300
Seto Koji,Gouriki Ayame,Japan,"Jan 10, 2012 - Mar 20, 2012",11,Drama,NTV,8079,99999,5.8,,Teen Court,16,303
Kamikawa Takaya,Konishi Manami,Japan,"Jan  9, 2012 - Mar 19, 2012",11,"Drama,  Family",TBS,99999,99999,7.9,"Miyabe Miyuki, Adapted From A Novel",Stepfather Step,16,165
Emi Kurara,Miyama Karen,Japan,"Jan  5, 2012 - Mar 30, 2012",62,Drama,Fuji TV,99999,99999,,Biographical,Suzuko no Koi,0,17
Sakurada Dori,Tanaka Reina,Japan,"Jan 11, 2012 - Mar 28, 2012",12,School,NTV,4515,99999,6.5,"Mind Sport, International Mathematical Olympiad",Suugaku Joshi Gakuen,248,833
Kaneko Noboru,Kitagawa Hiromi,Japan,"Oct  7, 2005 - Dec 23, 2005",12,Drama,TV Tokyo,99999,99999,6.4,"Hostess, Host Club, Adapted From A Manga",Jyouou,15,91
Koike Rina,,Japan,"Jan 17, 2011 - Mar 28, 2011",11,"Music,  Comedy",MBS,99999,99999,6.3,,Onegai Kanaete Versailles,33,152
Takenouchi Yutaka,Choi Ji Woo,Japan,"Jan 15, 2006 - Mar 26, 2006",11,"Thriller,  Romance,  Crime",TBS,5432,99999,7.4,,Rondo,250,620
Tomosaka Rie,Oshio Manabu,Japan,"Apr  9, 2002 - Jun 25, 2002",11,"Friendship,  Comedy,  Romance,  Life,  Drama",Fuji TV,99999,99999,7.3,,Haru Ranman,3,90
Kobayashi Kaoru,Ayata Toshiki,Japan,"Oct 13, 2011 - Dec 15, 2011",10,"Food,  Friendship,  Life,  Drama",MBS,4089,99999,8.5,"Stripper, Multi Part Story, LGBTQ+, Episodic Format, Life Lesson, Nice Male Lead, Adapted From A Manga, Gay Character",Shinya Shokudo 2,395,977
Fujita Rei,Kageyama Hironobu,Japan,"Oct  6, 2011 - Mar 29, 2012",24,Tokusatsu,TV Tokyo,5366,99999,8.2,"Superhero, Sword-fight, Nudity, Horror, Tokusatsu, Friendship",Garo: Makai Senki,284,634
Mizushima Hiro,Sato Yuki,Japan,"Jan 29, 2006 - Jan 21, 2007",49,Tokusatsu,TV Asahi,3180,99999,7.7,"Superhero, Cooking, Corporation, Friendship",Kamen Rider Kabuto,678,1410
Fujiki Naohito,Fukada Kyoko,Japan,"Oct 21, 2011 - Dec 16, 2011",9,"Drama,  Detective",TBS,4829,99999,7.4,"Infidelity, Life Lesson",Sengyou Shufu Tantei ~Watashi wa Shadow,357,753
Sawamura Ikki,Takashima Masanobu,Japan,"Oct 27, 2011 - Dec 15, 2011",8,"Psychological,  Medical",TV Asahi,4436,99999,8.0,,DOCTORS Saikyou no Meii,403,858
Hirata Yuichiro,,Japan,"Oct  4, 2011 - Mar 27, 2012",24,Drama,TV Asahi,99999,99999,5.0,"Adapted From A Game, Host Club",Watashi no Host-chan - Shichinin no Host,3,116
Matsuzaka Tori,Omasa Aya,Japan,"Oct 28, 2011 - Dec 23, 2011",9,"Action,  Mystery,  Romance,  Crime,  Drama",TBS,3228,99999,7.0,"Thieves, Adapted From Video Game",Kaito Royale,402,1379
Abe Hiroshi,Ohashi Nozomi,Japan,"Apr 14, 2009 - Jun 23, 2009",11,"Drama,  Family,  Tragedy",Fuji TV,3650,99999,8.0,,Shiroi Haru,426,1156
Eikura Nana,Iura Arata,Japan,"Oct 13, 2011 - Dec 22, 2011",11,"Romance,  Drama,  Medical",Fuji TV,4674,99999,6.9,"Incest, Age Gap, Uncle, Forbidden Love, Older Man/Younger Woman, Doctor, Jealousy, Love Triangle",Mitsu no Aji,298,792
Saitoh Takumi,Hayashi Kento,Japan,"Oct  5, 2011 - Dec 28, 2011",12,"Action,  Crime,  Drama",NTV,99999,99999,7.2,Gangster,QP,16,126
Wakui Emi,Suzuki Sawa,Japan,"Oct 18, 2011 - Dec 20, 2011",10,Drama,NHK,99999,99999,6.4,Older Woman/Younger Man,Bitter Sugar,33,121
Kaho,Maki Yoko,Japan,"Nov  1, 2011 - Dec 20, 2011",8,Drama,NHK,99999,99999,7.1,,"Kare, Otto, Otoko Tomodachi",64,192
Takashima Reiko,Ito Hideaki,Japan,"Sep 13, 2011 - Oct 25, 2011",7,Thriller,NHK,99999,99999,6.9,"KAT-TUN, Idol Actor",Last Money - Ai no Nedan,90,220
Yonekura Ryoko,Emoto Akira,Japan,"Oct 11, 2011 - Dec 13, 2011",10,Drama,Fuji TV,6729,99999,6.9,,"HUNTER ~Sono Onnatachi, Shoukin Kasegi~",148,427
Ono Machiko,Kobayashi Kaoru,Japan,"Oct  3, 2011 - Mar 31, 2012",151,"Historical,  Business,  Life,  Family",NHK,6094,99999,8.6,"Morning Drama, Asadora, Fashion",Carnation,136,507
Kuriyama Chiaki,Sugimoto Tetta,Japan,"Oct  6, 2011 - Dec 29, 2011",13,Drama,NTV,6381,99999,7.4,,Himitsu Chouhouin Erika,203,468
Kamiki Ryunosuke,Hirosue Ryoko,Japan,"Oct 21, 2011 - Dec 16, 2011",9,"Comedy,  Family",TV Asahi,3186,99999,7.7,"Photography, Poor Family, Huge Family, Cooking, Ghost",11 Nin mo Iru!,586,1406
Fukiishi Kazue,Takizawa Saori,Japan,"Sep  4, 2011 - Oct  9, 2011",6,"Life,  Family",TV Asahi,7312,99999,7.1,"Modeling, Housewife, Infidelity, Adapted From A Manga",Barairo no Seisen,170,370
Park Jung Min,Sakai Miki,Japan,"Aug  5, 2011 - Aug 26, 2011",4,Romance,,7303,99999,6.1,Mobile Drama,Love Song in August,149,371
